IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-2-5,F-1-2-6,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-2-5,F-2-2-6
155.245.28.8,100,88,TRUE,2018/4/25 04:14,R_1hRxXCrxoVFUpAN,,,,,51.90859985,0.920898438,anonymous,EN,42.956,42.956,46.715,1,Prime Minister 2,44.822,44.822,45.715,1,Prime Minister 2,Minister's Scandal,Misreporting Funds,EU Integration,Support EU Integration,Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,Having an Extramarital Affair,Support EU Integration,Plagiarism,Labour Party,Minister's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Scandal,Having an Extranarital Affair,Minister's Partisanship,Conservative Party,Having an Extramarital Affair,Oppose EU Integration,Plagiarism,Labour Party,Party Affiliation,Conservative Party,Gender,Male,Labour Party,Female,Party Affiliation,Conservative Party,Gender,Female,Labour Party,Male
155.245.28.10,100,19,TRUE,2018/4/25 04:35,R_1IzxVUH8EL7ySbV,,,,,51.90859985,0.920898438,anonymous,EN,9.323,9.323,10.179,1,Prime Minister 1,8.386,8.386,9.128,1,Prime Minister 2,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Gender,Female,Minister's Partisanship,Labour Party,Oppose EU Integration,Conservative Party,Female,Conservative Party,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Gender,Female,Minister's Partisanship,Conservative Party,Oppose EU Integration,Labour Party,Female,Labour Party,Minister's Scandal,Misreporting Funds,Scandal,Misreporting Funds,Having an Extramarital Affair,Misreporting Funds,Minister's Scandal,No Scandal,Scandal,Having an Extranarital Affair,No Scandal,Misreporting Funds
155.245.28.9,100,49,TRUE,2018/4/25 04:35,R_uwvz6G9wJKz8sDf,,,,,51.90859985,0.920898438,anonymous,EN,19.316,19.946,20.406,2,Prime Minister 2,7.307,7.307,30.57,1,Prime Minister 2,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,Scandal,Misreporting Funds,Labour Party,Labour Party,No Scandal,Misreporting Funds,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,Scandal,Sexual Harassment,Conservative Party,Conservative Party,No Scandal,Sexual Harassment,Gender,Female,EU Integration,Neutral,Female,Support EU Integration,Gender,Female,EU Integration,Oppose EU Integration,Female,Support EU Integration
155.245.28.8,100,38,TRUE,2018/4/25 04:36,R_emnKQ1JO9cvnKYF,,,,,51.90859985,0.920898438,anonymous,EN,13.748,13.748,23.603,1,Prime Minister 2,13.961,13.961,15.228,1,Prime Minister 1,Gender,Male,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Female,Conservative Party,No Scandal,Conservative Party,Gender,Male,Minister's Partisanship,Labour Party,Minister's Scandal,No Scandal,Party Affiliation,Labour Party,Male,Labour Party,No Scandal,Labour Party,EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,Neutral,No Scandal,EU Integration,Neutral,Scandal,Plagiarism,Oppose EU Integration,Sexual Harassment
155.245.28.4,100,23,TRUE,2018/4/25 05:01,R_1jOEXjgGx5lg9Jb,,,,,51.90859985,0.920898438,anonymous,EN,11.105,11.105,12.053,1,Prime Minister 2,10.188,10.188,11.022,1,Prime Minister 2,Scandal,Having an Extranarital Affair,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Sexual Harassment,Plagiarism,Conservative Party,Support EU Integration,Scandal,Plagiarism,Minister's Scandal,Sexual Harassment,Party Affiliation,Labour Party,EU Integration,Support EU Integration,No Scandal,Sexual Harassment,Labour Party,Support EU Integration,Minister's Partisanship,Conservative Party,Gender,Male,Liberal Democrats,Male,Minister's Partisanship,Labour Party,Gender,Male,Labour Party,Female
155.245.28.2,100,16,TRUE,2018/4/25 05:03,R_5p6N4E2UGofwEOR,,,,,51.90859985,0.920898438,anonymous,EN,6.101,6.101,9.275,1,Prime Minister 2,2.126,2.126,6.156,1,Prime Minister 2,Scandal,No Scandal,Minister's Partisanship,Conservative Party,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Having an Extranarital Affair,Labour Party,No Scandal,Labour Party,Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,No Scandal,Labour Party,Plagiarism,Labour Party,EU Integration,Support EU Integration,Gender,Male,Support EU Integration,Male,EU Integration,Neutral,Gender,Female,Neutral,Female
155.245.28.11,100,25,TRUE,2018/4/25 05:35,R_qQ1WalDDEIdCzlv,,,,,51.90859985,0.920898438,anonymous,EN,7.947,7.947,9.463,1,Prime Minister 2,7.616,7.616,15.987,1,Prime Minister 2,Gender,Male,Minister's Partisanship,Labour Party,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Female,Labour Party,Having an Extramarital Affair,Support EU Integration,Gender,Male,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Female,Labour Party,Misreporting Funds,Oppose EU Integration,Scandal,Having an Extranarital Affair,Party Affiliation,Labour Party,Plagiarism,Labour Party,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Having an Extranarital Affair,Labour Party
155.245.28.4,100,52,TRUE,2018/4/25 05:36,R_2wuz2V2v31cBxJp,,,,,51.90859985,0.920898438,anonymous,EN,20.324,20.324,22.147,1,Prime Minister 1,31.023,31.023,31.832,1,Prime Minister 2,Scandal,Plagiarism,Minister's Scandal,No Scandal,Gender,Male,Minister's Partisanship,Labour Party,Having an Extranarital Affair,No Scandal,Female,Labour Party,Scandal,Plagiarism,Minister's Scandal,Sexual Harassment,Gender,Female,Minister's Partisanship,Liberal Democrats,No Scandal,Misreporting Funds,Female,Liberal Democrats,Party Affiliation,Labour Party,EU Integration,Support EU Integration,Labour Party,Oppose EU Integration,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Conservative Party,Oppose EU Integration
155.245.28.8,100,45,TRUE,2018/4/25 05:37,R_2V3YiNOMliJh9eg,,,,,51.90859985,0.920898438,anonymous,EN,24.119,24.119,25.218,1,Prime Minister 2,20.808,20.808,21.903,1,Prime Minister 1,Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Minister's Scandal,Having an Extramarital Affair,Plagiarism,Labour Party,Neutral,Misreporting Funds,Scandal,No Scandal,Minister's Partisanship,Conservative Party,EU Integration,Support EU Integration,Minister's Scandal,Plagiarism,Misreporting Funds,Labour Party,Oppose EU Integration,Sexual Harassment,Party Affiliation,Labour Party,Gender,Male,Labour Party,Male,Party Affiliation,Conservative Party,Gender,Female,Labour Party,Female
155.245.28.10,100,61,TRUE,2018/4/25 05:37,R_OCn087t6vlyUd6V,,,,,51.90859985,0.920898438,anonymous,EN,50.814,50.814,51.707,1,Prime Minister 1,10.23,10.23,11.013,1,Prime Minister 1,EU Integration,Support EU Integration,Gender,Male,Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,Support EU Integration,Female,Sexual Harassment,Liberal Democrats,EU Integration,Support EU Integration,Gender,Female,Scandal,Plagiarism,Minister's Partisanship,Conservative Party,Support EU Integration,Female,Having an Extranarital Affair,Liberal Democrats,Party Affiliation,Conservative Party,Minister's Scandal,Sexual Harassment,Conservative Party,No Scandal,Party Affiliation,Conservative Party,Minister's Scandal,Sexual Harassment,Conservative Party,Sexual Harassment
155.245.28.9,100,42,TRUE,2018/4/25 05:39,R_1KqKt9oeWgAzYHg,,,,,51.90859985,0.920898438,anonymous,EN,10.076,10.076,12.204,1,Prime Minister 1,29.708,29.708,31.16,1,Prime Minister 1,Minister's Scandal,Having an Extramarital Affair,Scandal,Having an Extranarital Affair,Gender,Female,EU Integration,Neutral,Misreporting Funds,No Scandal,Male,Neutral,Minister's Scandal,Having an Extramarital Affair,Scandal,Misreporting Funds,Gender,Female,EU Integration,Support EU Integration,Plagiarism,Misreporting Funds,Female,Support EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Conservative Party,Conservative Party,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Labour Party,Labour Party
155.245.28.4,100,15,TRUE,2018/4/25 06:01,R_ANjG0ZsF3QYB4Rz,,,,,51.90859985,0.920898438,anonymous,EN,7.097,7.097,8.384,1,Prime Minister 1,3.574,4.53,6.51,2,Prime Minister 1,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Gender,Female,Scandal,Misreporting Funds,Support EU Integration,Labour Party,Male,Plagiarism,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Gender,Male,Scandal,No Scandal,Oppose EU Integration,Labour Party,Female,Misreporting Funds,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Conservative Party,Sexual Harassment,Labour Party,Minister's Scandal,Plagiarism,Minister's Partisanship,Conservative Party,Having an Extramarital Affair,Labour Party
155.245.28.10,100,11,TRUE,2018/4/25 06:01,R_3mmBqWaVM8kjC9Q,,,,,51.90859985,0.920898438,anonymous,EN,4.393,4.393,6.681,1,Prime Minister 1,2.154,2.154,3.507,1,Prime Minister 1,Minister's Partisanship,Labour Party,Gender,Female,Scandal,Misreporting Funds,Minister's Scandal,Having an Extramarital Affair,Liberal Democrats,Male,Sexual Harassment,Sexual Harassment,Minister's Partisanship,Conservative Party,Gender,Male,Scandal,Misreporting Funds,Minister's Scandal,No Scandal,Liberal Democrats,Female,Sexual Harassment,Sexual Harassment,Party Affiliation,Labour Party,EU Integration,Neutral,Conservative Party,Support EU Integration,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Conservative Party,Neutral
155.245.28.9,100,39,TRUE,2018/4/25 06:03,R_2BfaCBHeF2raMlu,,,,,51.90859985,0.920898438,anonymous,EN,13.483,13.483,17.099,1,Prime Minister 2,21.049,21.049,22.507,1,Prime Minister 2,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,EU Integration,Neutral,Labour Party,Having an Extramarital Affair,Labour Party,Neutral,Minister's Partisanship,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Labour Party,Misreporting Funds,Labour Party,Support EU Integration,Gender,Female,Scandal,No Scandal,Female,Having an Extranarital Affair,Gender,Male,Scandal,Misreporting Funds,Female,Sexual Harassment
155.245.28.8,100,50,TRUE,2018/4/25 06:04,R_1Ftw2hT7125d7TH,,,,,51.90859985,0.920898438,anonymous,EN,25.313,25.313,26.133,1,Prime Minister 2,25.235,25.235,25.981,1,Prime Minister 2,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Gender,Female,Party Affiliation,Conservative Party,Oppose EU Integration,Liberal Democrats,Female,Conservative Party,EU Integration,Support EU Integration,Minister's Partisanship,Liberal Democrats,Gender,Female,Party Affiliation,Conservative Party,Neutral,Labour Party,Male,Labour Party,Minister's Scandal,Sexual Harassment,Scandal,Having an Extranarital Affair,Plagiarism,Sexual Harassment,Minister's Scandal,Sexual Harassment,Scandal,Misreporting Funds,Misreporting Funds,Having an Extranarital Affair
155.245.28.9,100,24,TRUE,2018/4/25 06:36,R_3EcehoRxLz8sJwK,,,,,51.90859985,0.920898438,anonymous,EN,5.896,5.896,7.655,1,Prime Minister 2,4.874,4.874,16.052,1,Prime Minister 2,EU Integration,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Sexual Harassment,Scandal,Having an Extranarital Affair,Oppose EU Integration,Liberal Democrats,No Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Minister's Partisanship,Conservative Party,Minister's Scandal,Sexual Harassment,Scandal,Misreporting Funds,Oppose EU Integration,Labour Party,Having an Extramarital Affair,Having an Extranarital Affair,Party Affiliation,Conservative Party,Gender,Male,Conservative Party,Female,Party Affiliation,Conservative Party,Gender,Male,Labour Party,Female
155.245.28.2,100,88,TRUE,2018/4/25 06:37,R_11ZsaMWWWm2FPn3,,,,,51.90859985,0.920898438,anonymous,EN,43.223,43.223,44.276,1,Prime Minister 2,22.363,22.363,26.129,1,Prime Minister 2,Minister's Scandal,No Scandal,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Plagiarism,Oppose EU Integration,Conservative Party,Liberal Democrats,Minister's Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Sexual Harassment,Neutral,Conservative Party,Conservative Party,Scandal,Sexual Harassment,Gender,Female,No Scandal,Female,Scandal,Sexual Harassment,Gender,Female,Misreporting Funds,Female
155.245.28.4,100,63,TRUE,2018/4/25 06:40,R_1pyuoCxAZI7LTIV,,,,,51.90859985,0.920898438,anonymous,EN,15.67,15.67,17.136,1,Prime Minister 2,46.836,46.836,48.205,1,Prime Minister 2,Gender,Male,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Minister's Scandal,Sexual Harassment,Female,Labour Party,Labour Party,Plagiarism,Gender,Male,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Minister's Scandal,Misreporting Funds,Female,Labour Party,Labour Party,No Scandal,EU Integration,Support EU Integration,Scandal,No Scandal,Neutral,No Scandal,EU Integration,Neutral,Scandal,Plagiarism,Support EU Integration,Misreporting Funds
155.245.28.2,100,67,TRUE,2018/4/26 03:35,R_3PWSHmGizgvDUds,,,,,51.90859985,0.920898438,anonymous,EN,17.317,17.317,18.387,1,Prime Minister 1,29.123,29.123,30.287,1,Prime Minister 2,Scandal,No Scandal,Minister's Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Misreporting Funds,Plagiarism,Oppose EU Integration,Conservative Party,Scandal,Sexual Harassment,Minister's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Party Affiliation,Conservative Party,Having an Extranarital Affair,No Scandal,Support EU Integration,Conservative Party,Minister's Partisanship,Liberal Democrats,Gender,Female,Conservative Party,Female,Minister's Partisanship,Liberal Democrats,Gender,Male,Conservative Party,Female
155.245.28.2,100,30,TRUE,2018/4/26 04:34,R_3oI0Pn8tvk1oMYg,,,,,51.90859985,0.920898438,anonymous,EN,15.284,15.284,16.309,1,Prime Minister 1,13.438,13.438,14.776,1,Prime Minister 2,Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Gender,Male,Plagiarism,Labour Party,Labour Party,Male,Scandal,No Scandal,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Female,No Scandal,Labour Party,Labour Party,Female,Minister's Scandal,Plagiarism,EU Integration,Support EU Integration,Misreporting Funds,Oppose EU Integration,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Having an Extramarital Affair,Support EU Integration
155.245.28.2,100,4,TRUE,2018/4/26 05:03,R_dmXarugp2JOaYKt,,,,,51.90859985,0.920898438,anonymous,EN,0.933,0.933,1.749,1,Prime Minister 1,0.308,0.308,1.02,1,Prime Minister 2,Scandal,Sexual Harassment,Gender,Male,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Having an Extranarital Affair,Male,Conservative Party,Oppose EU Integration,Scandal,Sexual Harassment,Gender,Female,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Sexual Harassment,Female,Conservative Party,Support EU Integration,Minister's Scandal,Plagiarism,Party Affiliation,Conservative Party,Misreporting Funds,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Sexual Harassment,Conservative Party
155.245.28.9,100,17,TRUE,2018/4/26 05:05,R_30061aHqGtUatA3,,,,,51.90859985,0.920898438,anonymous,EN,7.472,7.472,10.325,1,Prime Minister 2,5.22,5.22,6.598,1,Prime Minister 2,Scandal,Sexual Harassment,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Plagiarism,Sexual Harassment,Conservative Party,Conservative Party,Scandal,Sexual Harassment,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,No Scandal,Plagiarism,Conservative Party,Liberal Democrats,EU Integration,Neutral,Gender,Male,Oppose EU Integration,Female,EU Integration,Support EU Integration,Gender,Female,Oppose EU Integration,Male
155.245.28.8,100,28,TRUE,2018/4/26 05:05,R_3F2SHiFBjtJzbE3,,,,,51.90859985,0.920898438,anonymous,EN,12.446,12.446,13.99,1,Prime Minister 1,13.772,13.772,14.734,1,Prime Minister 2,Minister's Scandal,No Scandal,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Plagiarism,Neutral,Conservative Party,Conservative Party,Minister's Scandal,Plagiarism,EU Integration,Neutral,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Plagiarism,Oppose EU Integration,Liberal Democrats,Conservative Party,Scandal,No Scandal,Gender,Male,Having an Extranarital Affair,Female,Scandal,Having an Extranarital Affair,Gender,Male,No Scandal,Female
155.245.28.4,100,17,TRUE,2018/4/26 05:07,R_2tLriziQIPTjmYN,,,,,51.90859985,0.920898438,anonymous,EN,7.822,7.822,11.39,1,Prime Minister 2,5.137,5.137,6.132,1,Prime Minister 2,Scandal,Sexual Harassment,Gender,Male,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Sexual Harassment,Female,Conservative Party,Liberal Democrats,Scandal,Having an Extranarital Affair,Gender,Male,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Misreporting Funds,Female,Conservative Party,Liberal Democrats,EU Integration,Neutral,Minister's Scandal,Sexual Harassment,Neutral,Plagiarism,EU Integration,Oppose EU Integration,Minister's Scandal,Plagiarism,Neutral,No Scandal
155.245.28.2,100,41,TRUE,2018/4/26 05:39,R_11hKDMrEgRcwUZC,,,,,51.90859985,0.920898438,anonymous,EN,19.466,19.466,22.015,1,Prime Minister 2,16.67,16.67,19.911,1,Prime Minister 2,Scandal,No Scandal,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Gender,Female,No Scandal,Labour Party,Neutral,Male,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Gender,Female,No Scandal,Labour Party,Oppose EU Integration,Female,Minister's Scandal,Plagiarism,Minister's Partisanship,Conservative Party,No Scandal,Labour Party,Minister's Scandal,No Scandal,Minister's Partisanship,Conservative Party,Having an Extramarital Affair,Labour Party
155.245.28.4,100,26,TRUE,2018/4/26 05:42,R_3fqpfWnBhPTnbE1,,,,,51.90859985,0.920898438,anonymous,EN,5.07,5.07,6.004,1,Prime Minister 1,16.904,16.904,18.29,1,Prime Minister 2,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Scandal,Having an Extranarital Affair,Party Affiliation,Conservative Party,Support EU Integration,Liberal Democrats,Sexual Harassment,Conservative Party,EU Integration,Oppose EU Integration,Minister's Partisanship,Conservative Party,Scandal,Plagiarism,Party Affiliation,Conservative Party,Support EU Integration,Liberal Democrats,No Scandal,Conservative Party,Minister's Scandal,Plagiarism,Gender,Male,Having an Extramarital Affair,Female,Minister's Scandal,No Scandal,Gender,Male,Misreporting Funds,Female
